content,date,title
"All the arrangements have been made to conduct the  First Regional Conference of the Parliamentary Committee on Communal and Religious Harmony in Sri Lanka on the 06, of August 2018 from 9.30 a.m. to 2.30 p.m. at the Mahaweli Reach Hotel, Kandy under the auspices of the Hon. Speaker of  Parliament and the participation of Most Ven. Maha Nayaka and Anu Nayaka Theros, Most Venerable Clergy  belonging to all the religions, the Ministers and Members of Parliament  representing all the political parties and the high ranking Government officials.,Many topics with a regional importance on the national and religious coexistence of Sri Lanka will be taken up for discussion and the key note address will be delivered by Prof. Upul Dissanayake, the Vice Chancellor of the University of Peradeniya.,Provincial and regional level politicians representing the Central Province, certain Public officers and the Acting Secretary General of Parliament will also participate at the event.,The arrangements have also been made to conduct a Press briefing   at the end of the conference with the objective of presenting the submissions made in the Conference concisely.",31-07-2018,The First Regional Conference of the Parliamentary Committee on Communal and Religious Harmony in Sri Lanka
"The , has resigned from the post of Deputy Speaker and Chairperson of Committees of the Parliament of Sri Lanka on the 25th of May 2018. This has been informed to the Secretary-General of Parliament by the Secretary to the President. Mr Sumathipala served in this post from the 01st of September 2015.,Parliament will elect a new Deputy Speaker on the 05th of June (when it next meets) in terms of Article 64(3) of the Constitution.",30-05-2018,Hon. Thilanga Sumathipala resigns from the post of Deputy Speaker
"A five member delegation led by Mr. Tran Dac Loi, First Vice Chairman of the Commission, H.E. (Mrs.) Pham Kieu Thu, Ambassador of the Socialist Republic of Vietnam and Mr. Raja Kollure, former Member of Parliament and Chairman of Sri Lanka Communist Party visited Parliament on the 04, of June 2018.",04-06-2018,Visit of a Vietnam Delegation
"The , was elected as Deputy Speaker and Chairperson of Committees of the Parliament of Sri Lanka. His name was proposed and seconded by the Hon. Buddhika Pathirana and the Hon. (Prof.) Ashu Marasinghe, respectively. The election was done by secret ballot after the name of Hon. (Dr.) (Mrs.) Sudarshini Fernandopulle was also proposed for this office. The Hon. Kumarasiri received 97 votes, while Hon. Fernandopulle received 53 votes. One ballot was rejected.,The vacancy was announced by the Hon. Speaker at the beginning of proceedings of the House today. Parliament proceeded to elect a new Deputy Speaker under Standing Order no. 6 of Parliament after the conclusion of “Questions under Standing Order No. 27(2)”. The former Deputy Speaker, Hon. Thilanga Sumathipala resigned on the 25, of May 2018.,Hon. J. M. Ananda Kumarasiri is a Member of Parliament representing Monaragala district and was first elected to Parliament in 1986. He has a cumulative legislative service of nearly 9 years.",05-06-2018,Hon. Ananda Kumarasiri is the new Deputy Speaker
"Official handing over of the “Deed” of the Parliamentary Complex was held at the Committee Room No. 1 of Parliament on the 5th of June 2018. The deed was presented to the Hon. Karu Jayasuriya, Speaker of Parliament by the Hon. Gayantha Karunatileka, Minister of Lands and Parliamentary Reforms.",07-06-2018,"Official handing over of the ""Deed"" of the Parliamentary Complex"
"Parliament website and mobile app now provides the facility to listen to simultaneous interpretation of parliamentary speeches while watching or listening “,”. Users are able to switch between the original language and the selected language (Sinhala/Tamil/English) of the website.,Simultaneous interpretation was first introduced to the Sri Lankan Legislature in 1957 and Sri Lanka was the first country in the Asian region to introduce this facility to its Legislature. At the beginning, this facility was available only to interpret Sinhala and Tamil speeches into English. Subsequently this facility was extended and interpretation is now available for English, Sinhala and Tamil. Standing Order No. 13 states that it is the duty of the Hon. Speaker to make arrangements for simultaneous interpretation of speeches and other proceedings in to the other two languages.,The general public will now have this facility that was hitherto available only for Members of Parliament, officers of Parliament secretariat, media personnel, and guests in a few galleries.,The Parliament website started live streaming of House proceedings in January 2016. It also has a recorded archive of proceedings from September 2010.",05-06-2018,“Parliament Live” now with simultaneous interpretation
"The newly elected Deputy Speaker and Chairperson of Committees of Parliament, Hon. J. M. Ananda Kumarasiri assumed duties today. The Hon. Speaker, Members of Parliament, Secretary-General of Parliament, Deputy Secretary General, Officials of the Secretariat and family members of Hon. Kumarasiri were present at the occasion.",06-06-2018,New Deputy Speaker assumes duties
"His Excellency Mr. Atul Keshap, Ambassador of the United States of America visited Parliament yesterday to pay a farewell call on the Hon. Speaker. He is scheduled to leave Sri Lanka on completion of his assignment as the Ambassador.",04-07-2018,US Ambassador visits Parliament
"General Sir John Kotelawala Defence University (Special Provisions) Bill was passed with amendments in Parliament today. This Bill was presented on the 6, of June 2018 by the Hon. Minister of Higher Education & Cultural Affairs.",20-06-2018,General Sir John Kotelawala Defence University (Special Provisions) Bill is passed
"H.E. Nobushige Takamizawa Ambassador Extraordinary and Plenipotentiary Permanent Representative of Japan to the Conference on Disarmament in Geneva visited Sri Lanka today on a universalization mission of the Arms Trade Treaty (ATT). During his visit to Sri Lanka he met Hon. Speaker Karu Jayasuriya at the Parliament and discussed about the importance of Sri Lanka’s accession to the ATT. He was accompanied by Dumisani Dladla, Head, Arms Trade Treaty Secretariat, Ms. Yoko Owatari, First Secretary, Permanent Representative of Japan to the Conference on Disarmament in Geneva and Mr. Yagi, Chargé d' affaires, Embassy of Japan in Sri Lanka.",11-06-2018,Ambassador of Japan to the Conference on Disarmament visits Parliament
