civil_status,dob,name,occupation,party,political_career,religion
 : Single, : 24-06-1960,"Hon. Abeywickrama, Ananda Jayantha, M.P.", : Attorney-at-Law,United National Party (UNP),"Leader of the Opposition.Baddegama Pradesheeya Sabha; Southern Provincial Counciller; Cheif Organizer Baddegama Electorate,", : Buddhism
 : Single,,"Hon. (Ms.) Abeywickrema, Keerthilatha Premawathie, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 28-05-1893,"Hon. Abeyratne, Lloyd Oscar, M.P.",,,,
 : Married, : 15-04-1927,"Hon. Abeysundera, Sunil Subasiri, M.P.",,United National Party (UNP),, : Buddhism
,,"Hon. Abeysinghe, Alexander Nicholas de Abrew, M.P.",,United National Party (UNP),,
 : Married, : 13-02-1917,"Hon. Abeykoon, Ratnayake Mudiyanselage, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 20-01-1937,"Hon. Abeyratne, Herat Banda, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 02-05-1955,"Hon. Abeysundera, Gemunu, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 29-12-1917,"Hon. Abeygoonewardane, Henry Dias, M.P.",,The Ceylon Communist Party ((CCP),, : Buddhism
,,"Hon. Abeykoon, Abeykoon Mudiyanselage Mahinda, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 24-02-1963,"Hon. (Mrs.) Abeyweera, Sumitha Priyangeni, M.P.",,People's Alliance (PA),, : Buddhism
 : Married, : 29-08-1953,"Hon. Abeygunasekera, Dilshad Rohan Tissa, M.P.", : Attorney-at-Law,United National Party (UNP),"UNP organizer for Hanguranketha, Vice President, Nuwara Eliya District Organization", : Buddhism
 : None,,"Hon. Yogashangary, Veerasingham K., M.P.",,Tamil United Liberation Front (TULF),,
, : 27-12-1905,"Hon. Abeywickrema, Henry, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 02-04-1903,"Hon. Vytalingam, Sidambarampillai, M.P.",,Independent (Ind),,
 : None,,"Hon. Tyagaraja, Jaganathan, M.P.",,,,
 : Married, : 05-02-1924,"Hon. Suriarachchi, Suriarachchi Kankanamalage Karunadasa, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 05-02-1934,"Hon. Yogeswaran, Vettivelu, M.P.",,Tamil United Liberation Front (TULF),, : Hindu
 : Married,,"Hon. Uthumalebbe, Mohamed Ibralebe, M.P.",,United National Party (UNP),, : Islam
 : Married, : 20-10-1971,"Hon. RUWAN RANATUNGA, M.P.,, M.P.", : Businessman,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 26-09-1942,"Hon. Rupasinghe, Don Jayawickramage Neil, M.P.", : Businessman,United People's Freedom Alliance(UPFA),-, : Buddhism
 : Married, : 10-04-1948,"Hon. R.A.D. SIRISENA,, M.P.",,United National Party (UNP),Served at the Trade Union Movement of the Jathika Sevaka Sangamaya for over 15 years holding several positions;Member of the Sabaragamuwa Provincial Council from 1988 - 1989,
 : None,,"Hon. Pushpakumara, W.P.S., M.P.",,United National Party (UNP),, : Hindu
, : 03-10-1908,"Hon. Abeygoonawardana, Wijesekera Don Simon, M.P.",,United National Party (UNP),Galle TC -from 1954 to 1960,
 : Married, : 21-09-1933,"Hon. Punchinilame, Galgamuwa Vidanelage, M.P.",,United National Party (UNP),,
 : Married, : 07-02-1949,"Hon. Pulendran, Rasa Manohari (Mrs.), M.P.",,United National Party (UNP),,
 : Married, : 15-04-1935,"Hon. Punchi Bandara, Ratnayake Mudiyanselage, M.P.",,United National Party (UNP),,
 : Married, : 10-10-1951,"Hon. Puththirasigamoney, Vadivel, M.P.", : Agriculturist; Businessman,United National Party (UNP),Deputy Mayor - M.C. Nuwara-Eliya; Provincial Council Member; Deputy Chairman - Central Provincial Council; Minister Central Provincial Council;, : Hindu
 : Married, : 19-02-1942,"Hon. Premaratne, Mirihanage Don, M.P.",,United National Party (UNP),,
 : Married, : 10-01-1955,"Hon. Premajayantha, Achchige Don Susil, M.P.",,,,
 : Married, : 23-06-1924,"Hon. Premadasa, Ranasinghe, M.P.",,United National Party (UNP),,
 : Married, : 04-11-1946,"Hon. Premadasa Champika, Ambatenna Devage, M.P.",,,,
 : Married, : 12-04-1910,"Hon. Premachandra, Hapugoda Rankothge Udayaprema, M.P.",,United National Party (UNP),,
 : Married, : 26-01-1956,"Hon. Premachandra, Bharatha Lakshman, M.P.",,People's Alliance (PA),"Member of the Kolonnawa Urban Council - 1979 & 1983; Leader of the Opposition of the Kolonnawa Urban Council - 1983 ;  Member of the Western Provincial Council - 1988 & 1993; Member of the Parliament - 1994, 2000 & 2001.",
 : Married, : 24-09-1949,"Hon. Premachandra, A. M. Munidasa, M.P.", : Farming ; Business,Sri Lanka Freedom Party(SLFP),A member of the SLFP - 1967;Private Sectretary to Hon. L.B. jayasena MP and Provincial Councillor- Bingiriya;Won the General Election 1977 contesting the Bingiriya Seat;Chief organizer in Bingiriya Electorate from 1977., : Buddhism
 : Married, : 03-08-1894,"Hon. Poulier, Reginald Sydney Vernon, M.P.",,,,
 : Married, : 25-07-1946,"Hon. PON. SELVARASA, M.P.,, M.P.", : Retired Government Officer,Illankai Tamil Arasu Kadchi (ITAK),Deputy Leader- Ilankai Thamil Arasukkatchi, : Hindu
 : Married, : 08-11-1901,"Hon. Ponnambalam, Ganapathipillai Gangaser, M.P.",,Tamil Congress (TC),,
 : Married, : 24-09-1972,"Hon. ANURUDDHA POLGAMPALA, M.P.,, M.P.",,United People's Freedom Alliance(UPFA),Served as a Minister for 3 years in Sabaragamuwa Provincial Council,
 : None, : 10-07-1890,"Hon. Poholiyadde Dissawa, Tikiri Banda, M.P.",,United National Party (UNP),,
 : Married, : 02-05-1953,"Hon. Piyasoma Upali, M.P.", : Agriculturist; Businessman,United National Party (UNP),Member of the Development Council 1980; Chairman Kuliyapitiya Pradeshiya Sabha 1987; Vice Chairman Wayamba Provincial Council; Member of Parliament 1988 - 2000, : Buddhism
 : Married,,"Hon. Piyasiri, Handunnrtti Rannulu, M.P.",,United National Party (UNP),,
 : Married, : 10-03-1928,"Hon. Piyadasa, Suduweli Kondage, M.P.",,United National Party (UNP),,
 : Married, : 17-10-1952,"Hon. MR. P. ABEYNAYAKE, M.P.,, M.P.",,United National Party (UNP),, : Buddhism
 : Married, : 25-05-1925,"Hon. Pilapitiya, Abeyratne Bandara Herath, M.P.",,United National Party (UNP),,
 : None,,"Hon. PHILIPS KUMARASINGHE SRI LIYANAGE, M.P.",,United People's Freedom Alliance(UPFA),,
 : Married, : 01-10-1936,"Hon. P. DAYARATNA, M.P.,, M.P.", : Chartered Engineer,United People's Freedom Alliance(UPFA),, : Buddhism
 : Married, : 30-04-1941,"Hon. P. RADHAKRISHNAN, M.P.,, M.P.", : Company Director,United National Party (UNP),-, : Hindu
 : Married, : 17-04-1957,"Hon. P. CHANDRASEKARAN, M.P.,, M.P.", : Trade Unionist,United National Party (UNP),"Joined CWC in 1977 ,Elected to the Talawakele Lindula Urban Council - 1982; Elected to the Nuwara Eliya District Development Council - 1985 and two years later to the Nuwara Eliya Pradeshiya Sabha; Contested the1989 General Election; Taken into Police custody in 1990; Elected to the Central Provincial Council while in prison (1993). After the PA victory at the 1994 General Election decided to support President Chandrika Bandaranaike Kumaranathunga.", : Hindu
 : Married, : 12-05-1905,"Hon. Peries, Pattiyapathirennehelage Albert Fredrick (Sir), M.P.",,United National Party (UNP),,
 : Married, : 12-06-1905,"Hon. Perera, Wilmot Abraham, M.P.",,Independent (Ind),,
 : None, : 30-11-1919,"Hon. Perera, Ranawakaarachchige Solomon, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 05-01-1930,"Hon. Perera, Owitigalage Somadasa, M.P.",,United National Party (UNP),,
 : None, : 01-12-1915,"Hon. Perera, Ranawaka Arachchige Arthur Reginald, M.P.",,Lanka Sama Samaja Party (LSSP),,
 : None, : 06-06-1905,"Hon. (Dr.) Perera, Nanayakkarapathirage Martin (Dr.), M.P.",,Lanka Sama Samaja Party (LSSP),,
 : Married, : 29-09-1931,"Hon. Perera, Michael Festus Wenceslaus, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 21-09-1918,"Hon. Perera, Mathew Vincent, M.P.",,United National Party (UNP),, : Roman Catholicism
 : Married, : 06-02-1925,"Hon. Perera, Liyana Andarage Bernard    ( LAB ), M.P.", : Journalist,Sri Lanka Freedom Party(SLFP),, : Buddhism
 : None,,"Hon. Perera, Koswattage Edmund, M.P.",,Mahajana Eksath Peramuna (MEP),,
 : None, : 19-11-1924,"Hon. Perera, Kongahakankanamage Don David, M.P.",,Sri Lanka Freedom Party(SLFP),,
 : Married, : 04-10-1930,"Hon. Perera, Kasadoruge Vincent, M.P.",,United National Party (UNP),,
 : Married, : 04-04-1963,"Hon. Perera, Kanahela Bandaralage Lilantha, M.P.", : Businssman,United National Party (UNP),Member of the Colombo Municipal Council from 1989 - 1999;  Member of the Western Provincial Council 1999 -2000;  Member of Parliament 200- 2001., : Roman Catholicism
 : None,,"Hon. Perera, J Asitha, M.P.",,Sri Lanka Muslim Congress (SLMC),,
 : Married, : 14-03-1922,"Hon. Perera, Gamamedaliyanage John Paris, M.P.",,United National Party (UNP),,
 : None,,"Hon. Perera, Galappati Kankanage William, M.P.",,Ceylon National Congress (CNC),,
 : Married,,"Hon. Perera, Elluppitiyamudiyanselage Peter Paul, M.P.",,United National Party (UNP),,
 : None, : 12-12-1875,"Hon. Perera, Edward Walter, M.P.",,LabourParty (LP),,
 : Married,,"Hon. Perera, Cyril Ernest Stanley, M.P.",,United National Party (UNP),,
